AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,AccAngleX,AccAngleY,RuheState,FernstState,TranspState
1.19092,-0.034059,0.023962,141.003235,165.304581,140.979752,-46.00182,-42.982235,25.520248,-1.637798,-87.997337,0,0,1
0.720461,0.511352,0.51444,-87.332642,101.793129,125.269829,-53.12574,-32.943233,38.172501,30.011513,-44.806362,0,0,1
0.621096,0.259887,0.016149,-330.06546,-19.962597,45.926323,-84.279121,-35.605362,42.811058,22.699114,-67.254646,0,0,1
0.581301,0.169555,0.109899,-36.47768,-2.86336,13.559908,-85.884254,-36.593327,44.180611,15.992526,-70.832924,0,0,1
0.820803,0.269164,0.07279,58.49942,-53.626717,-23.600397,-78.014511,-42.594173,41.79697,18.089407,-71.237007,0,0,1
0.906741,0.087768,0.222937,87.461258,-66.603813,-154.317963,-67.689919,-49.838711,26.210855,5.369754,-75.19883,0,0,1
1.091067,-0.093141,0.028356,18.102474,-65.306107,-131.066055,-64.641899,-57.003948,12.973184,-4.877676,-84.900703,0,0,1
0.933108,-0.066773,0.181921,71.491791,-5.122902,-72.211082,-56.353157,-57.936287,5.679864,-4.017732,-78.267563,0,0,1
0.931887,-0.107789,0.205847,68.423088,22.174809,-40.852303,-48.582458,-56.102684,1.553781,-6.443954,-75.999146,0,0,1
1.03052,-0.079225,0.152624,17.812399,28.419083,-20.424824,-45.934711,-53.778236,-0.509126,-4.348902,-80.526436,0,0,1
1.424319,0.014525,0.259313,15.415451,12.739694,29.666779,-43.478699,-53.035011,2.487219,0.574841,-79.66584,0,0,1
1.076174,0.151977,0.277136,-54.737221,42.816032,89.17823,-47.871269,-49.209026,11.49422,7.787317,-73.632538,0,0,1
1.039797,0.177855,0.172155,-91.42424,13.075571,140.598068,-55.771446,-48.462818,25.694626,9.578476,-76.609749,0,0,1
0.73218,0.171752,0.116003,-68.492943,23.823664,122.384331,-61.174553,-46.619392,38.055443,13.044491,-74.19487,0,0,1
0.531741,0.17932,0.029821,-8.401343,4.571755,68.262199,-60.410461,-46.657017,44.949924,18.608562,-71.126282,0,0,1
0.673586,0.196898,0.020788,40.49942,-14.939695,-20.760702,-54.867878,-48.675007,42.853092,16.287014,-73.619926,0,0,1
1.062014,0.237914,0.081335,137.110107,-82.496948,-96.82177,-39.947533,-57.400661,33.074093,12.591322,-76.68042,0,0,1
1.091311,0.092406,0.22196,96.636826,-47.260303,-139.081314,-29.488602,-62.481987,19.02688,4.743292,-77.57563,0,0,1
1.009036,-0.067018,0.334753,143.384918,-12.008398,-56.485893,-14.778731,-63.847088,13.321805,-3.607091,-71.30735,0,0,1
0.770999,0.056518,0.277624,82.438354,24.892365,-12.974442,-6.244501,-61.502762,12.011386,3.945404,-69.823158,0,0,1
0.851321,0.006225,0.204626,99.033775,24.770227,-33.737801,3.6909,-59.350521,8.603868,0.407322,-76.478584,0,0,1
1.346194,-0.069947,0.102575,10.01087,14.098473,-50.424824,4.548642,-58.462658,3.51096,-2.965791,-84.730736,0,0,1
1.216555,-0.052369,0.155065,9.888733,18.785496,36.078995,5.387553,-57.080769,7.154939,-2.445136,-82.337692,0,0,1
0.894778,0.048949,0.122106,-134.065475,-24.496948,55.81945,-7.927948,-59.996586,12.792704,3.102571,-81.636162,0,0,1
1.027346,0.097045,0.130651,-74.798286,-26.710688,102.18586,-15.065858,-63.06044,23.113476,5.353384,-80.998138,0,0,1
