AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,AccAngleX,AccAngleY,RuheState,FernstState,TranspState
0.017185,0.057368,0.720726,-4.33029,4.876213,6.66968,-1.042981,1.597052,-88.445541,4.549696,-1.361564,0,0,1
0.020847,0.070795,0.965843,-30.711969,1.227358,-8.979176,-3.978167,1.661932,-89.35244,4.191259,-1.233169,0,0,1
0.022067,-0.041265,1.3218,-28.986778,-3.276459,-14.719634,-6.803473,1.285269,-90.839127,-1.787882,-0.955996,0,0,1
0.04697,-0.271978,1.617698,10.249863,22.204456,-28.017344,-5.843667,3.424559,-93.668877,-9.539742,-1.640105,0,0,1
-0.024563,-0.137701,1.200218,22.555206,16.097588,-33.818871,-3.62515,4.972703,-97.084579,-6.543556,1.164804,0,0,1
-0.023343,-0.010503,0.758079,23.56284,-4.604703,-26.734901,-1.236266,4.452746,-99.784805,-0.793424,1.763525,0,0,1
-0.049222,0.029292,0.765159,-2.864641,-1.551268,-2.536428,-1.451327,4.283707,-100.040985,2.187785,3.678004,0,0,1
-0.031888,0.056879,0.857688,-13.933343,0.036518,9.41777,-2.725592,4.244138,-99.08979,3.791521,2.124537,0,0,1
-0.060452,0.073969,1.084251,-24.666168,8.097587,23.768915,-5.034604,5.024431,-96.689133,3.896724,3.183823,0,0,1
-0.075833,-0.05982,1.366233,-33.643269,3.685373,26.135328,-8.313987,5.3522,-94.049461,-2.503217,3.173917,0,0,1
-0.015042,-0.089605,0.961448,14.799481,11.80751,19.982656,-6.789331,6.431712,-92.031212,-5.32382,0.89246,0,0,1
0.092868,-0.038091,0.78054,15.684978,-16.848978,18.074259,-5.156532,4.499823,-90.205711,-2.77435,-6.777129,0,0,1
0.029392,0.033198,0.734153,4.601007,-1.154321,6.39487,-4.546254,4.249767,-89.55983,2.58703,-2.290257,0,0,1
0.010593,0.035151,0.843284,-10.009679,0.29606,-9.696733,-5.398352,4.179695,-90.5392,2.386708,-0.719049,0,0,1
